trade_id,market_id,ticker,price,price_dollars,count,count_fp,taker_side,maker_action,taker_action,maker_nickname,taker_nickname,maker_social_id,taker_social_id,create_date
749f2a77-edd6-67bf-a1a6-d92c8e32586d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T22:00:02.02017Z
90e594d0-4b6e-569b-858c-be674bf6d365,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T20:47:47.411045Z
810a4f35-1592-67c3-c1dc-1c6e0816a36d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T20:24:57.550946Z
eca1b8a6-362e-5ecf-d0e3-4ddc08311c85,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,wildsam535,783896a9-a6bf-42b5-9df0-2dda3e907629,0139a62c-6f8c-4f6e-aa4c-1805ef1fb381,2026-01-30T20:23:45.716584Z
221ac715-e96e-4173-3e27-b6e353624c35,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T19:38:07.162977Z
33a99e3a-f902-68ab-dae4-530e7145db0d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T19:02:14.525068Z
2df64598-a906-4bb7-563c-3c9f57f7bb95,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T18:53:36.03232Z
3b6569b2-4926-61cb-2b9e-4453cd38ec15,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T18:48:18.630823Z
4b71a2e1-3182-60cf-114a-bec6b0b56f8d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,500,500.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T18:17:36.932683Z
23137fc7-1646-4deb-f17e-ea82f1d77d19,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,heway1295,783896a9-a6bf-42b5-9df0-2dda3e907629,de40680d-4441-4565-b57b-de8224a0b247,2026-01-30T18:13:27.114712Z
6cfbe9c4-af3a-4b5b-98bf-5f3859694de5,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T17:54:50.143559Z
604f16d4-9936-430b-4540-4ea0e7829711,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T17:24:59.626659Z
